tablename,policyname,cmd,roles,using_expr,with_check
agent_heartbeats,mnweb_insert_agent_heartbeats,INSERT,{mnweb},,true
agent_heartbeats,mnweb_select_agent_heartbeats,SELECT,{mnweb},true,
agent_heartbeats,mnweb_update_agent_heartbeats,UPDATE,{mnweb},true,
agent_runs,mnweb_insert_agent_runs,INSERT,{mnweb},,true
agent_runs,mnweb_select_agent_runs,SELECT,{mnweb},true,
agent_runs,mnweb_update_agent_runs,UPDATE,{mnweb},true,
aiprompts,mnweb_delete_aiprompts,DELETE,{mnweb},true,
aiprompts,mnweb_insert_aiprompts,INSERT,{mnweb},,true
aiprompts,mnweb_select_aiprompts,SELECT,{mnweb},true,
aiprompts,mnweb_update_aiprompts,UPDATE,{mnweb},true,true
artist_bio_versions,mnweb_delete_artist_bio_versions,DELETE,{mnweb},true,
artist_bio_versions,mnweb_insert_artist_bio_versions,INSERT,{mnweb},,
artist_bio_versions,mnweb_select_artist_bio_versions,SELECT,{mnweb},true,
artist_bio_versions,mnweb_update_artist_bio_versions,UPDATE,{mnweb},,
artist_claims,mnweb_delete_artist_claims,DELETE,{mnweb},true,
artist_claims,mnweb_insert_artist_claims,INSERT,{mnweb},,true
artist_claims,mnweb_select_artist_claims,SELECT,{mnweb},true,
artist_claims,mnweb_update_artist_claims,UPDATE,{mnweb},true,true
artist_id_mappings,mnweb_insert_artist_id_mappings,INSERT,{mnweb},,true
artist_id_mappings,mnweb_select_artist_id_mappings,SELECT,{mnweb},true,
artist_id_mappings,mnweb_update_artist_id_mappings,UPDATE,{mnweb},true,
artist_mapping_exclusions,mnweb_delete_artist_mapping_exclusions,DELETE,{mnweb},true,
artist_mapping_exclusions,mnweb_insert_artist_mapping_exclusions,INSERT,{mnweb},,true
artist_mapping_exclusions,mnweb_select_artist_mapping_exclusions,SELECT,{mnweb},true,
artist_mapping_exclusions,mnweb_update_artist_mapping_exclusions,UPDATE,{mnweb},true,
artist_vault_sources,mnweb_delete_artist_vault_sources,DELETE,{mnweb},true,
artist_vault_sources,mnweb_insert_artist_vault_sources,INSERT,{mnweb},,true
artist_vault_sources,mnweb_select_artist_vault_sources,SELECT,{mnweb},true,
artist_vault_sources,mnweb_update_artist_vault_sources,UPDATE,{mnweb},true,true
artists,mnweb_delete_artists,DELETE,{mnweb},true,
artists,mnweb_insert_artists,INSERT,{mnweb},,true
artists,mnweb_select_artists,SELECT,{mnweb},true,
artists,mnweb_update_artists,UPDATE,{mnweb},true,true
featured,mnweb_delete_featured,DELETE,{mnweb},true,
featured,mnweb_insert_featured,INSERT,{mnweb},,true
featured,mnweb_select_featured,SELECT,{mnweb},true,
featured,mnweb_update_featured,UPDATE,{mnweb},true,true
funfacts,Enable read access for all users,SELECT,{mnweb},true,
mcp_api_keys,mnweb_insert_mcp_api_keys,INSERT,{mnweb},,true
mcp_api_keys,mnweb_select_mcp_api_keys,SELECT,{mnweb},true,
mcp_api_keys,mnweb_update_mcp_api_keys,UPDATE,{mnweb},true,
mcp_audit_log,mnweb_insert_mcp_audit_log,INSERT,{mnweb},,true
mcp_audit_log,mnweb_select_mcp_audit_log,SELECT,{mnweb},true,
ugcresearch,mnweb_delete_ugcresearch,DELETE,{mnweb},true,
ugcresearch,mnweb_insert_ugcresearch,INSERT,{mnweb},,true
ugcresearch,mnweb_select_ugcresearch,SELECT,{mnweb},true,
ugcresearch,mnweb_update_ugcresearch,UPDATE,{mnweb},true,true
urlmap,mnweb_delete_urlmap,DELETE,{mnweb},true,
urlmap,mnweb_insert_urlmap,INSERT,{mnweb},,true
urlmap,mnweb_select_urlmap,SELECT,{mnweb},true,
urlmap,mnweb_update_urlmap,UPDATE,{mnweb},true,true
users,mnweb_delete_users,DELETE,{mnweb},true,
users,mnweb_insert_users,INSERT,{mnweb},,true
users,mnweb_select_users,SELECT,{mnweb},true,
users,mnweb_update_users,UPDATE,{mnweb},true,true
